,HTRK_VEN01_EM01_P,HTRK_VEN01_FCI01
2025-09-25 19:15:00+00:00,0.576142857,910
2025-09-25 19:20:00+00:00,0.03,0
2025-09-25 19:25:00+00:00,0.03,0
2025-09-25 19:30:00+00:00,0.03,0
2025-09-25 19:35:00+00:00,0.03,0
2025-09-25 19:40:00+00:00,0.03,0
2025-09-25 19:45:00+00:00,0.03,0
2025-09-25 19:50:00+00:00,0.03,0
2025-09-25 19:55:00+00:00,0.03,0
2025-09-25 20:00:00+00:00,0.035,0
2025-09-25 20:05:00+00:00,0.10616,0
2025-09-25 20:10:00+00:00,0.040857143,0
2025-09-25 20:15:00+00:00,0.03,0
2025-09-25 20:20:00+00:00,0.03,0
2025-09-25 20:25:00+00:00,0.03,0
2025-09-25 20:30:00+00:00,0.03,0
2025-09-25 20:35:00+00:00,0.03,0
2025-09-25 20:40:00+00:00,0.03,0
2025-09-25 20:45:00+00:00,0.03,0
2025-09-25 20:50:00+00:00,0.03,0
2025-09-25 20:55:00+00:00,0.03,0
2025-09-25 21:00:00+00:00,0.03,0
2025-09-25 21:05:00+00:00,0.03,0
2025-09-25 21:10:00+00:00,0.030500508,0
2025-09-25 21:15:00+00:00,0.03,0
2025-09-25 21:20:00+00:00,0.03,0
2025-09-25 21:25:00+00:00,0.03,0
2025-09-25 21:30:00+00:00,0.03,0
2025-09-25 21:35:00+00:00,0.03,0
2025-09-25 21:40:00+00:00,0.03,0
2025-09-25 21:45:00+00:00,0.03,0
2025-09-25 21:50:00+00:00,0.03,0
2025-09-25 21:55:00+00:00,0.03,0
2025-09-25 22:00:00+00:00,0.03,0
2025-09-25 22:05:00+00:00,0.03,0
2025-09-25 22:10:00+00:00,0.03,0
2025-09-25 22:15:00+00:00,0.060224638,0
2025-09-25 22:20:00+00:00,0.109533333,0
2025-09-25 22:25:00+00:00,0.11,0
2025-09-25 22:30:00+00:00,0.11,0
2025-09-25 22:35:00+00:00,0.11,0
2025-09-25 22:40:00+00:00,0.11,0
2025-09-25 22:45:00+00:00,0.11,0
2025-09-25 22:50:00+00:00,0.11,0
2025-09-25 22:55:00+00:00,0.11,0
2025-09-25 23:00:00+00:00,0.11,0
2025-09-25 23:05:00+00:00,0.11,0
2025-09-25 23:10:00+00:00,0.11,0
2025-09-25 23:15:00+00:00,0.11,0
2025-09-25 23:20:00+00:00,0.11,0
2025-09-25 23:25:00+00:00,0.11,0
2025-09-25 23:30:00+00:00,0.11,0
2025-09-25 23:35:00+00:00,0.11,0
2025-09-25 23:40:00+00:00,0.11,0
2025-09-25 23:45:00+00:00,0.11,0
2025-09-25 23:50:00+00:00,0.11,0
2025-09-25 23:55:00+00:00,0.11,0
2025-09-26 00:00:00+00:00,0.11,0
2025-09-26 00:05:00+00:00,0.11,0
2025-09-26 00:10:00+00:00,0.11,0
2025-09-26 00:15:00+00:00,0.11,0
2025-09-26 00:20:00+00:00,0.11,0
2025-09-26 00:25:00+00:00,0.11,0
2025-09-26 00:30:00+00:00,0.11,0
2025-09-26 00:35:00+00:00,0.11,0
2025-09-26 00:40:00+00:00,0.11,0
2025-09-26 00:45:00+00:00,0.11,0
2025-09-26 00:50:00+00:00,0.11,0
2025-09-26 00:55:00+00:00,0.11,0
2025-09-26 01:00:00+00:00,0.11,0
2025-09-26 01:05:00+00:00,0.11,0
2025-09-26 01:10:00+00:00,0.11,0
2025-09-26 01:15:00+00:00,0.11,0
2025-09-26 01:20:00+00:00,0.11,0
2025-09-26 01:25:00+00:00,0.11,0
